device,platform,day,Test Size,maxspflops,maxdpflops,gmem_readbw,gmem_writebw,gmem_readbw_strided,gmem_writebw_strided,lmem_readbw,lmem_writebw,tex_readbw,bspeed_download,bspeed_readback,fft_sp,ifft_sp,fft_sp_pcie,ifft_sp_pcie,fft_dp,ifft_dp,fft_dp_pcie,ifft_dp_pcie,sgemm_n,sgemm_t,sgemm_n_pcie,sgemm_t_pcie,dgemm_n,dgemm_t,dgemm_n_pcie,dgemm_t_pcie,md_sp_flops,md_sp_bw,md_sp_flops_pcie,md_sp_bw_pcie,md_dp_flops,md_dp_bw,md_dp_flops_pcie,md_dp_bw_pcie,reduction,reduction_pcie,reduction_dp,reduction_dp_pcie,scan,scan_pcie,scan_dp,scan_dp_pcie,sort,sort_pcie,spmv_csr_scalar_sp,spmv_csr_vector_sp,spmv_ellpackr_sp,spmv_csr_scalar_dp,spmv_csr_vector_dp,spmv_ellpackr_dp,stencil,stencil_dp,s3d,s3d_pcie,s3d_dp,s3d_dp_pcie,triad_bw,ocl_kernel,ocl_queue,bfs,bfs_pcie,bfs_teps,md5hash
c1060,best,5/1/2010,,726.164,77.6151,86.9727,77.7158,7.30692,6.52669,267.476,304.242,66.0956,6.01377,5.90817,166.059,165.615,28.0857,28.073,42.2658,42.0676,12.0743,12.058,371.127,255.112,339.026,238.304,74.799,74.0679,70.3906,69.716,0,24.9269,0,11.8794,0,34.6651,0,18.0775,85.6109,5.60117,86.0083,5.61024,12.9627,2.38479,6.96927,2.08445,0.950696,0.719671,1.61792,7.32782,8.26919,1.47527,5.97222,6.23899,0,0,35.9555,29.2755,16.7615,14.9827,5.21626,0.00238461,0.00871325,0.771343,0.695907,31841600,
c1060,best,5/2/2010,,726.164,77.6151,86.9727,77.7158,7.30692,6.52669,267.476,304.242,66.0956,6.01377,5.90817,166.059,165.615,28.0857,28.073,42.2658,42.0676,12.0743,12.058,371.127,255.112,339.026,238.304,74.799,74.0679,70.3906,69.716,0,24.9269,0,11.8794,0,34.6651,0,18.0775,85.6109,5.60117,86.0083,5.61024,12.9627,2.38479,6.96927,2.08445,0.950696,0.719671,1.61792,7.32782,8.26919,1.47527,5.97222,6.23899,0,0,35.9555,29.2755,16.7615,14.9827,5.21626,0.00238461,0.00871325,0.771343,0.695907,31841600,
c1060,cuda50,5/1/2010,,721.93,77.4973,77.7537,69.3972,6.96991,6.52669,228.849,248.753,66.0732,6.01377,5.90817,166.059,165.615,28.0857,28.073,42.2658,42.0676,12.0743,12.058,369.815,253.116,339.026,238.304,74.6993,73.94,70.3906,69.716,,24.9269,,11.8794,,34.6651,,18.0775,85.6109,5.60049,82.0112,5.58427,12.9627,2.401(estimated),6.84681,2.06(estimated),0.950696,0.719671,1.61792,7.32782,8.26919,1.47527,5.97222,6.23899,0,0,29.4442,26.6106,16.7615,14.9827,5.21626,,,0.521518,0.469328,3.18E+07,
c1060,cuda50,5/2/2010,,721.93,77.4973,77.7537,69.3972,6.96991,6.52669,228.849,248.753,66.0732,6.01377,5.90817,166.059,165.615,28.0857,28.073,42.2658,42.0676,12.0743,12.058,369.815,253.116,339.026,238.304,74.6993,73.94,70.3906,69.716,,24.9269,,11.8794,,34.6651,,18.0775,85.6109,5.60049,82.0112,5.58427,12.9627,2.401(estimated),6.84681,2.06(estimated),0.950696,0.719671,1.61792,7.32782,8.26919,1.47527,5.97222,6.23899,0,0,29.4442,26.6106,16.7615,14.9827,5.21626,,,0.521518,0.469328,3.18E+07,
c1060,nvocl50,5/1/2010,,726.164,77.6151,86.9727,77.7158,7.30692,5.72113,267.476,304.242,66.0956,6.00487,5.90549,20.1701,19.2728,12.6215,12.2642,8.09844,6.34305,5.47043,4.60886,371.127,255.112,330.794,235.386,74.799,74.0679,68.0745,67.4652,,24.3291,,11.7254,,17.3733,,11.8618,83.5947,5.60117,86.0083,5.61024,12.0205,2.38479,6.96927,2.08445,0.151633,0.144278,1.56238,6.48287,5.79076,1.46055,5.51079,5.40149,0,0,35.9555,29.2755,13.3472,11.4337,5.12686,0.00238461,0.00871325,0.771343,0.695907,2.87E+07,
c1060,nvocl50,5/2/2010,,726.164,77.6151,86.9727,77.7158,7.30692,5.72113,267.476,304.242,66.0956,6.00487,5.90549,20.1701,19.2728,12.6215,12.2642,8.09844,6.34305,5.47043,4.60886,371.127,255.112,330.794,235.386,74.799,74.0679,68.0745,67.4652,,24.3291,,11.7254,,17.3733,,11.8618,83.5947,5.60117,86.0083,5.61024,12.0205,2.38479,6.96927,2.08445,0.151633,0.144278,1.56238,6.48287,5.79076,1.46055,5.51079,5.40149,0,0,35.9555,29.2755,13.3472,11.4337,5.12686,0.00238461,0.00871325,0.771343,0.695907,2.87E+07,
c2050noecc,best,5/1/2010,,1008,509.367,130.931,125.807,14.9738,6.69,390.383,456.367,86.509,6.15327,5.997,351.26,346.568,31.499,31.46,176.81,177.052,15.7198,15.7241,676.307,731.713,559.286,596.647,315.659,315.899,243.452,243.594,0,35.5103,0,13.8833,0,48.26,0,21.04,128.72,5.86,123.978,5.85,34.049,1.95902,27.785,1.95956,1.74155,0.954775,1.93151,9.94,10.3926,1.5078,8.90532,8.27809,117.973,51.2935,60.466,45.29,32.5285,25.3794,5.57691,0.0072,0.018617,1.0007,0.860994,36813400,
c2050noecc,best,5/2/2010,,1008,509.367,130.931,125.807,14.9738,6.69,390.383,456.367,86.509,6.15327,5.997,351.26,346.568,31.499,31.46,176.81,177.052,15.7198,15.7241,676.307,731.713,559.286,596.647,315.659,315.899,243.452,243.594,0,35.5103,0,13.8833,0,48.26,0,21.04,128.72,5.86,123.978,5.85,34.049,1.95902,27.785,1.95956,1.74155,0.954775,1.93151,9.94,10.3926,1.5078,8.90532,8.27809,117.973,51.2935,60.466,45.29,32.5285,25.3794,5.57691,0.0072,0.018617,1.0007,0.860994,36813400,
c2050noecc,cuda32,5/1/2010,,991.154,480.321,128.167,125.432,11.9,5.73,,,,6.007,5.997,351.26,346.568,31.499,31.46,176.81,177.052,15.71,15.71,617.465,616.566,518.14,517.507,297.1,297.726,232.176,232.588,,35.5,,13.87,,48.26,,21.04,127.66,5.86,123.811,5.85,27.33,1.423(estimated),22.74,1.496(estimated),1.74,0.9528,0.981,9.94,7.93,0.963,8.81,6.31,8.08,4.92,50.99,41.75,30.42,24.08,,,,,,,
c2050noecc,cuda32,5/2/2010,,991.154,480.321,128.167,125.432,11.9,5.73,,,,6.007,5.997,351.26,346.568,31.499,31.46,176.81,177.052,15.71,15.71,617.465,616.566,518.14,517.507,297.1,297.726,232.176,232.588,,35.5,,13.87,,48.26,,21.04,127.66,5.86,123.811,5.85,27.33,1.423(estimated),22.74,1.496(estimated),1.74,0.9528,0.981,9.94,7.93,0.963,8.81,6.31,8.08,4.92,50.99,41.75,30.42,24.08,,,,,,,
c2050noecc,cuda40,5/1/2010,,1003.25,503.266,128.29,125.807,11.8951,5.70673,359.845,442.755,70.4997,6.15327,3.2225,349.525,345.289,31.4645,31.4298,176.396,176.933,15.7198,15.7241,601.505,597.913,506.79,504.237,297.362,297.499,232.33,232.413,,35.5103,,13.8833,,41.1091,,19.5826,128.72,5.85265,123.978,5.84393,33.009,1.536(estimated),27.5834,1.522(estimated),1.74155,0.954775,0.985236,9.9264,8.0771,0.946977,8.77982,6.14443,3.42165,4.91932,52.8131,42.9026,31.0935,24.4561,5.54069,,,,,,
c2050noecc,cuda40,5/2/2010,,1003.25,503.266,128.29,125.807,11.8951,5.70673,359.845,442.755,70.4997,6.15327,3.2225,349.525,345.289,31.4645,31.4298,176.396,176.933,15.7198,15.7241,601.505,597.913,506.79,504.237,297.362,297.499,232.33,232.413,,35.5103,,13.8833,,41.1091,,19.5826,128.72,5.85265,123.978,5.84393,33.009,1.536(estimated),27.5834,1.522(estimated),1.74155,0.954775,0.985236,9.9264,8.0771,0.946977,8.77982,6.14443,3.42165,4.91932,52.8131,42.9026,31.0935,24.4561,5.54069,,,,,,
c2050noecc,cuda41,5/1/2010,,1008,509.154,125.589,125.649,8.60211,5.69265,370.729,440.461,86.4887,6.11253,3.26311,163.68,120.2,28.4263,26.7461,123.929,84.9336,15.1083,14.3074,676.307,731.713,559.286,596.647,315.659,315.899,243.452,243.594,,34.7425,,13.7482,,38.3933,,18.9133,127.778,5.81281,123.675,5.80451,34.049,1.556(estimated),27.785,1.54(estimated),1.65686,0.931304,1.93151,9.81754,10.3926,1.49342,8.90532,8.27809,80.5366,41.3061,54.172,43.854,32.5285,25.3794,5.57691,,,0.538434,0.475833,3.30E+07,
c2050noecc,cuda41,5/2/2010,,1008,509.154,125.589,125.649,8.60211,5.69265,370.729,440.461,86.4887,6.11253,3.26311,163.68,120.2,28.4263,26.7461,123.929,84.9336,15.1083,14.3074,676.307,731.713,559.286,596.647,315.659,315.899,243.452,243.594,,34.7425,,13.7482,,38.3933,,18.9133,127.778,5.81281,123.675,5.80451,34.049,1.556(estimated),27.785,1.54(estimated),1.65686,0.931304,1.93151,9.81754,10.3926,1.49342,8.90532,8.27809,80.5366,41.3061,54.172,43.854,32.5285,25.3794,5.57691,,,0.538434,0.475833,3.30E+07,
c2050noecc,nvocl32,5/1/2010,,982.35,495.94,130.73,124.093,14.82,6.69,,,,6.008,3.23,62.18,59.69,,,28.65,24.13,,,412.187,405.14,353.973,348.698,171.139,158.136,134.156,125.99,,24.14,,11.54,,26.36,,15.2,124.735,5.4,120.38,5.732,24.2392,1.28787,20.3876,1.27495,0.844,0.3767,0.971,4.495,6.38,0.866,3.627,4.254,3.67,5.104,60.466,45.29,28.073,20.86,,,,,,,
c2050noecc,nvocl32,5/2/2010,,982.35,495.94,130.73,124.093,14.82,6.69,,,,6.008,3.23,62.18,59.69,,,28.65,24.13,,,412.187,405.14,353.973,348.698,171.139,158.136,134.156,125.99,,24.14,,11.54,,26.36,,15.2,124.735,5.4,120.38,5.732,24.2392,1.28787,20.3876,1.27495,0.844,0.3767,0.971,4.495,6.38,0.866,3.627,4.254,3.67,5.104,60.466,45.29,28.073,20.86,,,,,,,
